window.document.cookie,35455680
window.navigator.userAgent,15534371
window.Storage.getItem,10553944
window.localStorage,8767285
window.Storage.setItem,4175556
window.sessionStorage,4033894
window.Storage.removeItem,2932713
window.name,2484730
CanvasRenderingContext2D.fillStyle,1957519
window.navigator.plugins[Shockwave Flash].description,1863285
window.screen.colorDepth,1449905
window.navigator.appName,1286084
window.navigator.language,1172256
window.navigator.platform,1140738
CanvasRenderingContext2D.save,1000762
CanvasRenderingContext2D.restore,997755
CanvasRenderingContext2D.fill,954340
CanvasRenderingContext2D.fillRect,936267
window.navigator.plugins[Shockwave Flash].name,895289
CanvasRenderingContext2D.font,814310
CanvasRenderingContext2D.lineWidth,718195
window.navigator.appVersion,707298
window.navigator.cookieEnabled,692524
HTMLCanvasElement.width,681003
CanvasRenderingContext2D.strokeStyle,650211
HTMLCanvasElement.height,644476
HTMLCanvasElement.getContext,596749
window.Storage.key,551691
CanvasRenderingContext2D.fillText,542896
window.Storage.length,541077
CanvasRenderingContext2D.stroke,537024
CanvasRenderingContext2D.measureText,522209
window.navigator.vendor,487833
window.navigator.doNotTrack,468365
CanvasRenderingContext2D.arc,413449
HTMLCanvasElement.style,294223
CanvasRenderingContext2D.textBaseline,293489
window.navigator.product,279653
CanvasRenderingContext2D.textAlign,246380
window.navigator.plugins[Shockwave Flash].filename,225751
window.navigator.mimeTypes[application/x-shockwave-flash].type,213769
window.navigator.languages,199435
window.navigator.plugins[Shockwave Flash].length,184995
CanvasRenderingContext2D.bezierCurveTo,176757
CanvasRenderingContext2D.shadowBlur,172808
CanvasRenderingContext2D.shadowOffsetY,161446
CanvasRenderingContext2D.shadowOffsetX,159263
CanvasRenderingContext2D.shadowColor,158579
window.screen.pixelDepth,156326
CanvasRenderingContext2D.rect,154007
HTMLCanvasElement.nodeType,153630
CanvasRenderingContext2D.lineJoin,151407
window.navigator.mimeTypes[application/futuresplash].type,150364
CanvasRenderingContext2D.lineCap,149511
window.navigator.plugins[Shockwave Flash].version,144656
CanvasRenderingContext2D.strokeRect,142838
HTMLCanvasElement.toDataURL,135041
CanvasRenderingContext2D.createRadialGradient,132444
CanvasRenderingContext2D.globalCompositeOperation,122162
window.navigator.onLine,116037
CanvasRenderingContext2D.scale,115227
window.Storage.hasOwnProperty,108138
CanvasRenderingContext2D.clip,106238
CanvasRenderingContext2D.miterLimit,102589
window.navigator.mimeTypes[application/x-shockwave-flash].suffixes,94030
window.navigator.mimeTypes[application/futuresplash].suffixes,94025
RTCPeerConnection.localDescription,88683
window.navigator.productSub,71139
window.navigator.mimeTypes[application/x-shockwave-flash].description,70284
window.navigator.mimeTypes[application/futuresplash].description,70278
HTMLCanvasElement.nodeName,67621
CanvasRenderingContext2D.rotate,63824
HTMLCanvasElement.parentNode,57192
window.navigator.oscpu,54799
window.navigator.appCodeName,51161
CanvasRenderingContext2D.createLinearGradient,46710
CanvasRenderingContext2D.putImageData,45469
window.navigator.geolocation,43022
CanvasRenderingContext2D.getImageData,41412
HTMLCanvasElement.ownerDocument,37831
HTMLCanvasElement.className,36778
RTCPeerConnection.onicecandidate,32522
HTMLCanvasElement.getAttribute,31800
window.navigator.vendorSub,26840
HTMLCanvasElement.addEventListener,23485
window.navigator.buildID,23419
HTMLCanvasElement.classList,22963
HTMLCanvasElement.setAttribute,20689
HTMLCanvasElement.clientHeight,20665
